,advance,win_rate
0,1.0,0.5
1,1.03,0.59
2,0.95,0.31
3,0.92,0.32
4,1.01,0.48
5,1.07,0.63
6,1.05,0.58
7,1.04,0.59
8,1.06,0.6
9,0.99,0.44
10,0.98,0.43
11,0.93,0.37
12,0.94,0.33
13,0.88,0.19
14,0.89,0.21
15,0.97,0.37
16,0.96,0.35
17,1.08,0.61
18,1.09,0.65
19,1.02,0.49
20,0.91,0.27
21,0.9,0.22
22,0.81,0.13
23,0.75,0.2
24,0.79,0.14
25,0.84,0.18
26,0.86,0.2
27,0.82,0.16
28,0.83,0.2
29,0.85,0.14
30,0.87,0.21
31,1.32,0.9
32,1.14,0.75
33,1.15,0.74
34,1.27,0.84
35,1.19,0.79
36,1.18,0.72
37,1.13,0.73
38,1.24,0.87
39,1.21,0.84
40,1.23,0.81
41,1.2,0.81
42,1.33,0.99
43,0.7,0.1
44,1.1,0.66
45,0.77,0.13
46,0.73,0.11
47,1.16,0.69
48,1.12,0.69
49,1.11,0.67
50,1.22,0.82
51,0.78,0.13
52,0.76,0.14
53,1.4,0.92
54,1.37,0.94
55,0.8,0.11
56,1.17,0.76
57,1.28,0.83
58,1.29,0.86
59,1.3,0.94
60,1.26,0.84
61,1.25,0.84
62,1.31,0.88
63,1.34,0.87
64,1.35,0.93
65,0.72,0.14
66,0.74,0.06
67,1.36,0.95
68,0.71,0.06
69,1.39,0.98
70,1.38,0.98
